Timestamp,What school do you go to?,What school year are you?,"When do you usually drink energy drinks (like Red Bull, Celsius, or Monster)?","When you drink Red Bull specifically, where do you usually get it?",What would make you most likely to buy Red Bull on campus?," If Red Bull were a person on campus, what would their vibe be?
(One word or phrase – optional)"
4/2/2025 13:19:33,Don't go to the 5C's,Senior,🧠 While studying or working late,📦 Off-campus store / delivery,💸 Lower price / student discount,grace
4/2/2025 13:20:12,Scripps,Not a student,🚫 I don’t drink energy drinks,🤷 I never buy Red Bull,😋 More flavor options,Finance bro
4/2/2025 19:15:31,CMC,Senior,🚫 I don’t drink energy drinks,🤷 I never buy Red Bull,🚫 Nothing—I wouldn’t buy it either way,
4/2/2025 19:15:34,Mudd,Junior,🧠 While studying or working late,🤷 I never buy Red Bull,🧊 Better cooler or shelf placement,
4/2/2025 19:15:36,Mudd,Sophomore,🚫 I don’t drink energy drinks,🤷 I never buy Red Bull,🚫 Nothing—I wouldn’t buy it either way,
4/2/2025 19:15:38,Pomona,Sophomore,😴 When I’m feeling tired or hungover,"🛒 Campus store (Hub, Coop, Pit Stop, etc.)",💸 Lower price / student discount,
4/2/2025 19:15:38,CMC,Senior,🚫 I don’t drink energy drinks,📦 Off-campus store / delivery,😋 More flavor options,
4/2/2025 19:15:39,Pitzer,Freshman,🚫 I don’t drink energy drinks,🤷 I never buy Red Bull,🚫 Nothing—I wouldn’t buy it either way,
4/2/2025 19:15:42,Pomona,Senior,🚫 I don’t drink energy drinks,🤷 I never buy Red Bull,🚫 Nothing—I wouldn’t buy it either way,
4/2/2025 19:15:53,Mudd,Senior,🧠 While studying or working late,🤷 I never buy Red Bull,😋 More flavor options,
4/2/2025 19:15:59,CMC,Sophomore,🏋️ Before or after working out,🤷 I never buy Red Bull,💸 Lower price / student discount,
4/2/2025 19:15:59,CMC,Senior,🚫 I don’t drink energy drinks,🤷 I never buy Red Bull,🐂 Sick campus events,Hella sick tbh
4/2/2025 19:16:00,CMC,Senior,🎉 At parties or social events,🤷 I never buy Red Bull,🚫 Nothing—I wouldn’t buy it either way,Econ bro at a rager
4/2/2025 19:16:31,Pitzer,Sophomore,🧠 While studying or working late,📦 Off-campus store / delivery,💸 Lower price / student discount,👊
4/2/2025 21:22:40,Pitzer,Senior,🚫 I don’t drink energy drinks,🤷 I never buy Red Bull,🚫 Nothing—I wouldn’t buy it either way,A degenerate 
4/2/2025 22:10:48,Scripps,Senior,🚫 I don’t drink energy drinks,🤷 I never buy Red Bull,🚫 Nothing—I wouldn’t buy it either way,
